"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_NEWARK";"PACKAGE";"PRICE";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"U$6";"CONN_HDR_1.27MM_SMD_4POS";"CONN_HDR_1.27MM_SMD_4POS";"CONN_HDR_1.27MM_SMD_4POS";"MPN: M50-3630442";"";"";"";"";"M50-3630442";"";"";"";"";"";"";"";
"U$7";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_1MM";"For use by pick and place machines to calibrate the vision/machine, 1mm";"";"";"";"";"";"";"";"";"";"";"";"";
"U1";"NEOPIXEL_NANO_2427";"NEOPIXEL_NANO_2427";"SK6805-2427";"";"";"";"";"";"3484";"";"";"";"";"";"";"";
"U2";"FT231XQ-R";"FT231XQ-R";"FTDI_FT231XQ-R_PACKAGE";"This is the 20-LD QFN package of the FTDI FT231XQ-R chip.";"";"";"";"";"FT231XQ-R";"";"";"";"";"";"";"";
"U4";"SI7021";"SI7021";"DFN-6-3X3-SI7021";"Silicon Labs Si7021 I2C Humidity and Temperature Sensor";"";"";"";"";"SI7021-A20-GM1";"";"";"";"IC-13093";"";"";"";
"U5";"ATMEGA328P-MU";"ATMEGA328P-MU";"QFN50P500X500X100-33N";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - QFN-32";"Good";"ATmega Series 20 MHz 32 KB Flash 2 KB SRAM 8-Bit Microcontroller - QFN-32";"Atmel";"ATMEGA328P-MU";"ATMEGA328P-MU";"";"QFN-32 Atmel";"2.55 USD";"";"";"";"";
"U7";"PMS7003";"PMS7003";"PMS7003_RECEPTACLE_1.27MM_2X5";"2x5 header 1.27mm pitch";"";"";"";"";"20021311-00012T4LF";"";"";"";"";"";"";"";
"U8";"MCP1703CB";"MCP1703CB";"SOT23";"250 mA, 16V, Low Quiescent Current LDO Regulator";"";"";"";"";"MCP1703T-3302E/CB";"18T9177";"";"";"";"";"";"";
"U9";"BMP280";"BMP280";"BMP280";"The BMP280 is an absolute barometric pressure sensor especially designed for mobile applications. The sensor module is housed in an extremely compact 8-pin metal-lid LGA package with a footprint of only 2.0 × 2.5 mm2 and 0.95 mm package height. Its small";"";"";"";"";"BMP280";"";"";"";"";"";"";"";
"U10";"TSL2591";"LIGHT_TSL2591";"DFN6_TAOS";"TSL2591 Light-To-Digital Sensor";"";"";"";"";"TSL25911FN ";"";"";"";"";"";"";"";
"U11";"915MHz";"RFM69HCW-915";"RFM69HCW-XXXS2";"Hope RF RFM69H ISM Transceiver Module";"";"";"";"";"RFM69HCW";"";"";"";"IC-11997";"";"";"915MHz";
"U12";"MH-Z19";"MH-Z19";"MH-Z19";"MH-z19 Footprint";"";"";"";"";"MH-z19";"";"";"";"";"";"";"";
"U13";"CCS811-I2C";"CCS811-I2C";"LGA";"";"";"";"";"";"CCS811";"";"";"";"";"";"";"";
"U14";"IAQ-CORE-C";"IAQ-CORE-C";"IAQ-CORE-C";"AMS IAQ-Core";"";"";"";"";"IAQ-CORE-C";"";"";"";"";"";"";"";
"U15";"VLP-450-F";"VLP-450-F";"VLP-450-F";"";"";"";"";"";"VLP-650-F";"";"";"";"";"";"";"";
"U16";"VLP-450-F";"VLP-450-F";"VLP-450-F";"";"";"";"";"";"VLP-550-F";"";"";"";"";"";"";"";
"U17";"LMV324QT";"LMV324QT";"QFN-16_3X3";"";"";"";"";"";"LM324QT";"";"";"";"";"";"";"";
"X1";"16 MHz";"RESONATORSMD";"RESONATOR-SMD";"Resonator";"";"";"";"";"CSTCE16M0V53-R0";"";"";"";"";"";"";"";
